"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-6744.97269268297,6.50636027151346,0.00000000379721680832869,13.9416208905567
"2","GTR","relaxed_log_normal","yule",-6739.86773094772,5.62307942680607,0.000000625924724063646,4.97274122665992
"3","GTR","strict","birth_death",-6756.50439638456,7.56657122181697,3.72657709297395e-14,10.217376196253
"4","GTR","strict","yule",-6739.09942748747,6.43965677244229,0.00000134955957170532,8.16971986750815
"5","HKY","relaxed_log_normal","birth_death",-6741.98945560258,5.86373315404931,0.0000000750013009892134,11.4870019465408
"6","HKY","relaxed_log_normal","yule",-6742.69126280023,6.78449414702491,0.00000003717729636732,8.92719994053044
"7","HKY","strict","birth_death",-6749.62396992793,6.05959111885047,3.6261131627594e-11,8.35373993514717
"8","HKY","strict","yule",-6745.7393187034,5.97481310913382,0.00000000176410302326921,12.2250978974911
"9","JC69","relaxed_log_normal","birth_death",-6726.92099184488,5.10816117066096,0.26255449477853,6.12846862997059
"10","JC69","relaxed_log_normal","yule",-6725.89825686941,4.32570183951857,0.73010885182308,9.94554502744738
"11","JC69","strict","birth_death",-6730.50654355501,5.26798432930489,0.00727837009810208,5.37118074069166
"12","TN93","relaxed_log_normal","birth_death",-6739.72164034754,5.65595266771141,0.00000072438333098066,5.46302228712445
"13","TN93","relaxed_log_normal","yule",-6739.52289784577,5.12603059669053,0.000000883651908760376,8.77157904805853
"14","TN93","strict","birth_death",-6735.39981813355,5.69466785162265,0.00005456472708802,7.39306899008488
"15","TN93","strict","yule",-6743.45755893699,6.5067891915384,0.0000000172774490059006,9.5804794191004
