"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-4502.18900310321,6.28702211508308,1.3834383263439e-11,14.1992812250574
"2","GTR","relaxed_log_normal","yule",-4497.01532019221,5.09717312484884,0.0000000024426528108555,11.4935264672392
"3","GTR","strict","birth_death",-4494.71976346828,5.70508898205344,0.0000000242554513534579,6.42934033100285
"4","GTR","strict","yule",-4504.65237574911,6.95782031048059,1.17796030574449e-12,10.1482853065115
"5","HKY","relaxed_log_normal","birth_death",-4482.70876188094,3.53248599141295,0.00399136157510081,8.8894669130752
"6","HKY","relaxed_log_normal","yule",-4482.21434092251,3.71541054969396,0.00654403127192064,9.24389518765444
"7","HKY","strict","birth_death",-4494.99418060865,5.08355765849427,0.0000000184345062832093,12.2412111636886
"8","HKY","strict","yule",-4491.79936075429,4.70095572953435,0.000000449908443956873,6.52080974899555
"9","JC69","relaxed_log_normal","birth_death",-4480.51437078101,4.82312685146038,0.0358206133464862,8.89858629676104
"10","JC69","relaxed_log_normal","yule",-4482.62583134533,4.39726611119394,0.00433647998296917,13.1348995888816
"11","JC69","strict","birth_death",-4477.38485796727,3.97532789312441,0.818960893191777,7.06225941752946
"12","TN93","relaxed_log_normal","birth_death",-4490.44827883969,5.41676583520585,0.00000173736698443906,10.7878890580822
"13","TN93","relaxed_log_normal","yule",-4487.23663316669,4.92486352743475,0.000043121271463992,11.1381660625629
"14","TN93","strict","birth_death",-4479.2230450932,4.14107241778833,0.130301266937222,4.28070022099888
"15","TN93","strict","yule",-4509.46357519054,6.63257937924686,9.58635013668709e-15,9.32969973778512
