"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-6187.94044237476,5.56149989316849,9.65036526465777e-12,5.44538163814199
"2","GTR","relaxed_log_normal","yule",-6194.05982755946,5.49540704033906,2.12289509339747e-14,9.76535039917889
"3","GTR","strict","birth_death",-6210.16033326693,7.5874274222329,2.16056705059851e-21,4.85513496210117
"4","GTR","strict","yule",-6208.9035498553,5.95579429701429,7.59244840433492e-21,5.85531544623255
"5","HKY","relaxed_log_normal","birth_death",-6178.17501052785,4.16163833718767,0.000000168119045701671,8.94927041702468
"6","HKY","relaxed_log_normal","yule",-6184.67642919107,4.61516792686452,0.000000000252398439900181,7.63783676096407
"7","HKY","strict","birth_death",-6176.74576193154,4.39238225339964,0.000000701991243382016,6.17811834488367
"8","HKY","strict","yule",-6185.27555409422,5.11189659036717,0.000000000138640471519735,7.74476468327908
"9","JC69","relaxed_log_normal","birth_death",-6180.66139375308,4.56725919826843,0.0000000139892490357906,6.11071124327987
"10","JC69","relaxed_log_normal","yule",-6174.85688427015,4.23795598670864,0.00000464152656189063,5.41853788916572
"11","JC69","strict","birth_death",-6162.57642270146,2.43156695565584,0.999994323280562,7.16511978523766
"12","TN93","relaxed_log_normal","birth_death",-6184.09468072956,4.7658538748124,0.000000000451582197744139,6.56008223590768
"13","TN93","relaxed_log_normal","yule",-6178.29489187835,4.91949290283262,0.000000149125910098996,5.66328842504778
"14","TN93","strict","birth_death",-6184.77133502178,5.53762158026629,0.000000000229545925106344,9.37863644945717
"15","TN93","strict","yule",-6183.42118471492,5.14743211581284,0.000000000885589412127707,5.58657417595067
