Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate	
0	-4471.506348025749	-4468.052584979001	-3.453763046747203	-4468.052584979001	0.815090084930955	0.7208949119178462	1.2898837375265835	0.2535370649547994	0.25507849076706984	0.25116075419361084	0.24022369008451994	-0.5007673333326292	1.8549493139730642	
1	-4470.4734345467905	-4465.713648650731	-4.759785896060265	-4465.713648650731	0.8374086503219762	0.8837741444152603	1.292410525777489	0.2579021511034904	0.2531204783450465	0.2580023868035831	0.23097498374787992	-1.7618178158594242	4.724606842176154	
2	-4467.238948565191	-4463.497522591395	-3.7414259737959306	-4463.497522591395	0.9009853684104923	0.8221310618317919	1.292410525777489	0.2603248209558992	0.25693334249796107	0.2405953718661319	0.2421464646800078	-0.7620964838509838	2.4687633091737884	
3	-4467.238948565191	-4463.497522591395	-3.7414259737959306	-4463.497522591395	0.9009853684104923	0.8221310618317919	1.292410525777489	0.2603248209558992	0.25693334249796107	0.2405953718661319	0.2421464646800078	-0.7620964838509838	2.4687633091737884	
4	-4467.238948565191	-4463.497522591395	-3.7414259737959306	-4463.497522591395	0.9009853684104923	0.8221310618317919	1.292410525777489	0.2603248209558992	0.25693334249796107	0.2405953718661319	0.2421464646800078	-0.7620964838509838	2.4687633091737884	
5	-4467.670149272125	-4462.895026214986	-4.775123057139136	-4462.895026214986	0.8930283641240951	0.7159857056129056	0.8157007390027914	0.2603248209558992	0.2475018776794615	0.23619047462849366	0.2559828267361456	-1.9955706640453101	4.553036114779697	
6	-4467.670149272125	-4462.895026214986	-4.775123057139136	-4462.895026214986	0.8930283641240951	0.7159857056129056	0.8157007390027914	0.2603248209558992	0.2475018776794615	0.23619047462849366	0.2559828267361456	-1.9955706640453101	4.553036114779697	
7	-4467.670149272125	-4462.895026214986	-4.775123057139136	-4462.895026214986	0.8930283641240951	0.7159857056129056	0.8157007390027914	0.2603248209558992	0.2475018776794615	0.23619047462849366	0.2559828267361456	-1.9955706640453101	4.553036114779697	
8	-4466.062088502298	-4462.325573437734	-3.736515064564018	-4462.325573437734	0.8156204571348609	0.8395039071806873	0.9189456796356383	0.24699635021886435	0.24737845979690068	0.25137989708269315	0.25424529290154185	-0.8936808103369813	4.075080550819577	
9	-4465.380514017898	-4461.1229695519305	-4.257544465967893	-4461.1229695519305	0.8173804533027612	0.9157352490358004	0.9189456796356383	0.24299593178311854	0.2539076334910495	0.25243383677805264	0.25066259794777934	-1.390734482353494	1.2235624130024534	
