#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:true_alignment_5_evidence" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:true_alignment_5_evidence" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:true_alignment_5_evidence" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.true_alignment_5_evidence" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:true_alignment_5_evidence" name="distribution" x="@birthRate.t:true_alignment_5_evidence">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="kappa1Prior.s:true_alignment_5_evidence" name="distribution">
#            <parameter id="kappa1.s:true_alignment_5_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="kappa2Prior.s:true_alignment_5_evidence" name="distribution">
#            <parameter id="kappa2.s:true_alignment_5_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@true_alignment_5_evidence" id="treeLikelihood.true_alignment_5_evidence" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:true_alignment_5_evidence">
#            <siteModel id="SiteModel.s:true_alignment_5_evidence" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:true_alignment_5_evidence" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:true_alignment_5_evidence" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:true_alignment_5_evidence" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:true_alignment_5_evidence" kappa1="@kappa1.s:true_alignment_5_evidence" kappa2="@kappa2.s:true_alignment_5_evidence" spec="beast.evolution.substitutionmodel.TN93">
#                    <frequencies id="estimatedFreqs.s:true_alignment_5_evidence" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:true_alignment_5_evidence" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:true_alignment_5_evidence" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:true_alignment_5_evidence" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate
0	-11836.224970439374	-11832.337956611018	-11836.224970439374	3.887013828356194	-11836.224970439374	0.07675983053033192	6.443939718552268	5.150065501749657	0.22777067720354752	0.2683144811927814	0.2660182390840143	0.23789660251965686	10.04239759146011	28.103933064483563
1	-11317.94228430457	-11308.598664039511	-11317.94228430457	9.343620265059764	-11317.94228430457	0.02136246566434153	6.831417263883135	4.584320813270162	0.23574110667854087	0.2610122396223041	0.26686524716032467	0.23638140653883044	15.431118918616306	52.96170489137195
2	-9391.302632403587	-9396.121550505452	-9391.302632403587	-4.818918101865149	-9391.302632403587	0.16923588799121803	16.193635176625758	6.298325885579189	0.22849373704215428	0.2536056569924249	0.2766748379944245	0.24122576797099635	3.3352488031174454	16.076652684634592
3	-8630.259150237282	-8631.302690745031	-8630.259150237282	-1.0435405077488662	-8630.259150237282	0.17923603097481386	5.720011592327745	5.3272305738982535	0.2301019678277193	0.2536056569924249	0.27647810391155553	0.23981427126830027	4.979408353464058	6.25639188961592
4	-7630.3359299192225	-7641.881039335979	-7630.3359299192225	-11.545109416756954	-7630.3359299192225	0.944179616255406	13.273422404742591	5.3272305738982535	0.24328537115940818	0.2451843329638282	0.2891178557030037	0.22241244017375988	-4.052798393993	0.7958519430746983
5	-7538.805850149426	-7558.030963814702	-7538.805850149426	-19.22511366527574	-7538.805850149426	2.7262108920906853	13.273422404742591	26.657419372679836	0.24076655685507328	0.2511714149424593	0.2853026955222593	0.222759332680208	-8.599464233587238	0.33046004274836477
6	-7518.350537011026	-7536.497634985358	-7518.350537011026	-18.14709797433155	-7518.350537011026	2.6473218496679447	21.4516348241679	18.972450918970516	0.22611681974744888	0.2498635962727172	0.28670110810746047	0.23731847587237337	-7.28046962553579	0.8375152075926459
7	-7476.220576937334	-7500.307476513973	-7476.220576937334	-24.08689957663841	-7476.220576937334	6.547693380854406	32.38114411826748	15.54951937460676	0.22611681974744888	0.2498635962727172	0.2835382424335636	0.2404813415462702	-12.643521738484726	0.25634207741289144
8	-7136.963973845986	-7148.191229773518	-7136.963973845986	-11.227255927531456	-7136.963973845986	0.43665972755753124	37.629940472724805	15.905830121063548	0.22524164805181152	0.2539842291164162	0.27644592158705206	0.2443282012447201	0.6598776219205531	2.5296727970577124
9	-7125.409668047091	-7145.725629683947	-7125.409668047091	-20.315961636855434	-7125.409668047091	3.0216378302337943	36.677251116787524	10.38409240626966	0.23703422595015117	0.2543102608901729	0.2643273119149558	0.2443282012447201	-9.347747550986796	0.5107059569174679
10	-6945.194398862994	-6950.459262562413	-6945.194398862994	-5.2648636994193945	-6945.194398862994	0.33850522611443873	7.586473466493993	4.258402781892535	0.23275193113397352	0.25765047902441635	0.26487927193318106	0.244718317908429	0.8961406429897734	3.549817389494929
11	-6816.108932687972	-6818.475593545425	-6816.108932687972	-2.3666608574534456	-6816.108932687972	0.22522370654885085	4.858606264151816	6.961944391911481	0.23549374992903774	0.269289387002305	0.2558798556489064	0.2393370074197508	3.8296689981338936	7.260576933168938
12	-6782.263397262735	-6785.763678417753	-6782.263397262735	-3.5002811550174417	-6782.263397262735	0.3041313825869475	4.610919340541726	5.135560479402167	0.2397530539012923	0.27496891220793507	0.25620374468397006	0.2290742892068025	2.167370235145655	6.186503593348238
13	-6717.710487453527	-6721.095338024357	-6717.710487453527	-3.3848505708301078	-6717.710487453527	0.3949153062825843	0.6931510824577378	3.5340779880131596	0.24942070237229266	0.2725163136069061	0.25620374468397006	0.2218592393368311	0.41485025607475645	3.0825295547267317
14	-6303.284052462087	-6308.412876009186	-6303.284052462087	-5.128823547098818	-6303.284052462087	0.4820155960885744	0.5322387558407661	7.919123683382246	0.24849609872928394	0.26624084540947973	0.2675029154880401	0.21776014037319613	-0.18926654893557027	3.4164701244674798
