#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:true_alignment_4" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:true_alignment_4" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:true_alignment_4" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.true_alignment_4" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:true_alignment_4" name="distribution" x="@birthRate.t:true_alignment_4">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@true_alignment_4" id="treeLikelihood.true_alignment_4" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:true_alignment_4">
#            <siteModel id="SiteModel.s:true_alignment_4" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:true_alignment_4" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:true_alignment_4" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:true_alignment_4" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:true_alignment_4" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:true_alignment_4" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:true_alignment_4" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-7907.290818723626	-7896.880431687644	-10.410387035981923	-7896.880431687644	3.5338720092411458	-10.410387035981923	1.0
1000	-5377.149395736378	-5375.770678684713	-1.3787170516655225	-5375.770678684713	0.9103445152744641	-1.3787170516655225	2.138618876047313
2000	-5383.717041109369	-5381.291817836413	-2.425223272956102	-5381.291817836413	0.8050254667771249	-2.425223272956102	4.280415784280663
3000	-5381.148491725158	-5379.517919222799	-1.6305725023593536	-5379.517919222799	0.9058983916576959	-1.6305725023593536	2.888488000653118
4000	-5379.226380041042	-5377.334470154696	-1.8919098863460242	-5377.334470154696	0.8748594698939788	-1.8919098863460242	1.205439397803787
5000	-5377.4784509274505	-5376.104617343385	-1.3738335840657498	-5376.104617343385	0.8925638496625142	-1.3738335840657498	2.489896002340738
6000	-5380.573013581184	-5378.7150366869155	-1.857976894268179	-5378.7150366869155	1.0289303646122234	-1.857976894268179	2.2501576268810255
7000	-5380.456280304937	-5378.9632857457655	-1.4929945591707345	-5378.9632857457655	0.8947641053044121	-1.4929945591707345	2.557478907464303
8000	-5383.088679523282	-5380.64859138109	-2.4400881421918994	-5380.64859138109	0.8055535805803566	-2.4400881421918994	0.9067444535030336
9000	-5380.961691715643	-5379.105774508368	-1.8559172072743055	-5379.105774508368	0.8978504485880484	-1.8559172072743055	3.1329356670948236
10000	-5379.382928364789	-5377.9330380709425	-1.4498902938466187	-5377.9330380709425	0.8912694098937666	-1.4498902938466187	1.696464509112599
11000	-5384.151667052579	-5381.360014649933	-2.791652402645917	-5381.360014649933	1.0607211392308946	-2.791652402645917	2.97855589779739
12000	-5378.314288447876	-5376.476998186354	-1.8372902615221607	-5376.476998186354	0.925272918604301	-1.8372902615221607	2.9667239003105372
13000	-5377.273291271122	-5375.8644565179975	-1.4088347531239318	-5375.8644565179975	0.8838933330877603	-1.4088347531239318	2.6972981307435404
14000	-5377.89131204893	-5376.659162043564	-1.2321500053659822	-5376.659162043564	0.8352588434074374	-1.2321500053659822	2.9618997755437575
