#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:twin_alignment_7" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:twin_alignment_7" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:twin_alignment_7" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:twin_alignment_7" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.twin_alignment_7" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:twin_alignment_7" name="distribution" x="@BDBirthRate.t:twin_alignment_7">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:twin_alignment_7" name="distribution" x="@BDDeathRate.t:twin_alignment_7">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin_alignment_7" id="treeLikelihood.twin_alignment_7" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin_alignment_7">
#            <siteModel id="SiteModel.s:twin_alignment_7" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin_alignment_7" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin_alignment_7" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin_alignment_7" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:twin_alignment_7" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:twin_alignment_7" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:twin_alignment_7" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	BDBirthRate	BDDeathRate
0	-7785.386332181541	-7772.9338083515995	-12.452523829941558	-7772.9338083515995	3.5338720092411458	-12.452523829941558	1.0	0.5
1000	-6156.375790620382	-6153.8876619373295	-2.4881286830526785	-6153.8876619373295	0.9080157923239821	-2.4881286830526785	1.124846231879829	0.1576072902802312
2000	-6157.505246258491	-6154.853728744344	-2.6515175141464407	-6154.853728744344	0.9931080183729409	-2.6515175141464407	1.2200128136930408	0.43650173679816134
3000	-6157.947940630819	-6155.547262366847	-2.4006782639726536	-6155.547262366847	0.9514463074928214	-2.4006782639726536	1.4614941465518718	0.2688331594499917
4000	-6156.502361694739	-6153.886163463401	-2.6161982313382524	-6153.886163463401	0.9260731597623535	-2.6161982313382524	2.2435839276681837	0.1735144202384261
5000	-6159.867195912054	-6157.848365364492	-2.0188305475619117	-6157.848365364492	0.8239696336433288	-2.0188305475619117	0.899950854962733	0.654559343079853
6000	-6157.080804549768	-6154.688199531858	-2.3926050179093257	-6154.688199531858	0.9033861198126629	-2.3926050179093257	1.0766996271375868	0.2533703133600716
7000	-6161.144544624014	-6159.1966372543175	-1.9479073696962645	-6159.1966372543175	0.7782977761449934	-1.9479073696962645	1.4466320282225555	0.16583530265702826
8000	-6156.3947357422	-6153.934353575692	-2.4603821665087606	-6153.934353575692	0.9132146838217876	-2.4603821665087606	1.2475842303193188	0.05170871454317688
9000	-6158.703984986693	-6155.438362295702	-3.2656226909911186	-6155.438362295702	0.9653005268857396	-3.2656226909911186	2.817388212443909	0.04996784819529568
10000	-6158.268795075596	-6156.1318231326395	-2.1369719429565075	-6156.1318231326395	0.8326710528733173	-2.1369719429565075	1.23919637477004	0.10703897015300029
11000	-6159.689061596456	-6157.561491075052	-2.127570521403954	-6157.561491075052	0.8508625072919802	-2.127570521403954	1.7997169243760573	0.04289752535691165
12000	-6158.364440658757	-6155.488872524284	-2.8755681344740722	-6155.488872524284	0.957782972367463	-2.8755681344740722	2.270907364594779	0.009079300892682806
13000	-6159.918958683743	-6156.945209904998	-2.9737487787455352	-6156.945209904998	0.9325900214605852	-2.9737487787455352	1.0105244220047633	0.008734073815844007
14000	-6160.961990531091	-6157.9278369184885	-3.034153612602707	-6157.9278369184885	1.1272890830136517	-3.034153612602707	1.6970390748485285	0.026556226329330215
15000	-6156.272234156292	-6154.116818302798	-2.155415853494487	-6154.116818302798	0.8842866316211465	-2.155415853494487	1.7957379509447575	0.10019402322614893
16000	-6158.423985466974	-6155.715058061348	-2.7089274056263397	-6155.715058061348	1.030896357086875	-2.7089274056263397	1.5609908033493576	0.13126113210117285
17000	-6158.489029673793	-6155.609424267173	-2.879605406619824	-6155.609424267173	0.9907179313914586	-2.879605406619824	2.365794919991429	0.08292076708203056
18000	-6160.830150517041	-6158.414553608477	-2.4155969085643165	-6158.414553608477	0.8387560674331368	-2.4155969085643165	2.6962654646993944	0.019482611821150318
19000	-6161.23078336958	-6158.225867926966	-3.0049154426139717	-6158.225867926966	1.0558207637869972	-3.0049154426139717	1.1658142130310178	0.0894411808393977
20000	-6159.589077996211	-6157.065632494573	-2.5234455016382045	-6157.065632494573	0.952244204581132	-2.5234455016382045	1.8948211563998274	0.27700149486616943
21000	-6160.33150552028	-6158.203619498843	-2.1278860214372477	-6158.203619498843	0.8192526128477623	-2.1278860214372477	1.1354903986369156	0.20106234698493217
22000	-6159.291205294973	-6157.214331108026	-2.0768741869468217	-6157.214331108026	0.8724311313762346	-2.0768741869468217	1.211756473971194	0.590027244542526
23000	-6160.24706267599	-6158.097223312851	-2.1498393631385593	-6158.097223312851	0.8964922078121726	-2.1498393631385593	1.179062902524678	0.43991235090164715
24000	-6156.79392206625	-6154.17576270891	-2.618159357340271	-6154.17576270891	0.8663178518188261	-2.618159357340271	0.6197662412482169	0.5723988274519505
25000	-6158.251334679625	-6155.145328728778	-3.1060059508474547	-6155.145328728778	0.835328677234282	-3.1060059508474547	2.2848081814829073	0.47185773439961337
26000	-6159.735499841113	-6157.305134665165	-2.430365175948489	-6157.305134665165	0.9478547570959683	-2.430365175948489	1.007044763535264	0.3920226052654161
27000	-6157.276942921445	-6153.915415757977	-3.3615271634683364	-6153.915415757977	0.9242165790953465	-3.3615271634683364	2.0379090173125736	0.5238281085318423
28000	-6158.824880073931	-6154.653202492852	-4.171677581078932	-6154.653202492852	0.871938885457084	-4.171677581078932	3.2841813145078347	0.39952983735698283
29000	-6158.146418197964	-6155.561639627799	-2.5847785701644805	-6155.561639627799	0.8247703578965552	-2.5847785701644805	1.1325970176719384	0.7240420058440714
30000	-6157.131341892615	-6154.5753145875005	-2.5560273051138607	-6154.5753145875005	0.8866446384489269	-2.5560273051138607	0.9885069072654032	0.2939772555030384
31000	-6158.119262994669	-6155.562642908815	-2.5566200858542913	-6155.562642908815	0.8490603458981753	-2.5566200858542913	1.7935096335159326	0.4786096480955126
32000	-6156.982618667512	-6154.585041695671	-2.3975769718411226	-6154.585041695671	0.8812408442706233	-2.3975769718411226	1.065642658927392	0.20885022125117683
33000	-6163.238768819129	-6159.804024861187	-3.434743957942211	-6159.804024861187	0.9442408098182766	-3.434743957942211	2.354324677087978	0.5211714823086421
34000	-6159.184332389398	-6156.938608133966	-2.245724255432343	-6156.938608133966	0.9024394426712306	-2.245724255432343	1.587623954673769	0.008814991834016208
35000	-6158.8893314129855	-6155.600518627072	-3.2888127859129	-6155.600518627072	0.9288609891133371	-3.2888127859129	2.572142133204894	0.15057598984552722
36000	-6157.796159317879	-6154.752550079475	-3.0436092384031532	-6154.752550079475	0.8608654224155801	-3.0436092384031532	0.8942108263223049	0.036271328815238583
37000	-6157.481769785155	-6154.8861867096	-2.595583075554431	-6154.8861867096	0.897356620068143	-2.595583075554431	0.9316268763003106	0.26821651875188646
38000	-6157.161625722486	-6153.939770745022	-3.221854977464386	-6153.939770745022	0.946952107859277	-3.221854977464386	2.6173889863794173	0.043044098249305426
39000	-6159.001984753157	-6156.383511831431	-2.6184729217254694	-6156.383511831431	0.9360885118429945	-2.6184729217254694	1.5385957737883929	0.21002946908154319
40000	-6159.231021718541	-6156.530331722173	-2.700689996367605	-6156.530331722173	0.8714802917634027	-2.700689996367605	0.807352733832857	0.34655488477750157
41000	-6158.895548391286	-6156.177256434144	-2.7182919571427933	-6156.177256434144	0.9191727893859566	-2.7182919571427933	1.6331548107885292	0.5604325446885287
42000	-6160.075214558401	-6157.264231730789	-2.8109828276120803	-6157.264231730789	1.054607643218965	-2.8109828276120803	0.743132152619966	0.5259322268002387
43000	-6158.35308060801	-6155.7333038137185	-2.619776794291368	-6155.7333038137185	0.8050369256053724	-2.619776794291368	2.9628916394791416	0.08712096284673372
44000	-6160.394561790276	-6157.504813615933	-2.8897481743431683	-6157.504813615933	0.9905560522992588	-2.8897481743431683	0.7384935348544516	0.726308279759613
45000	-6159.02662519218	-6156.491356141488	-2.5352690506925804	-6156.491356141488	0.9676080169742892	-2.5352690506925804	1.3860544714346843	0.2008753889158141
46000	-6158.013036164506	-6155.939827092627	-2.0732090718793152	-6155.939827092627	0.8507784321506868	-2.0732090718793152	1.9537279880617717	0.22843687241050237
47000	-6155.950994763111	-6153.566821851626	-2.384172911485339	-6153.566821851626	0.9034007696613443	-2.384172911485339	0.9612096019207791	0.6227733376448168
48000	-6158.381715676779	-6156.224380009158	-2.1573356676204263	-6156.224380009158	0.7840638801833425	-2.1573356676204263	2.252230693730587	0.2827334984402297
49000	-6158.465431569836	-6155.372229634148	-3.093201935687558	-6155.372229634148	0.9680559446999991	-3.093201935687558	2.399125391070289	0.12452372538307686
50000	-6155.871561548639	-6153.478920847627	-2.3926407010121578	-6153.478920847627	0.9412422040688864	-2.3926407010121578	1.35115717166965	0.23274470177690543
51000	-6157.475354669826	-6155.469893102279	-2.0054615675471856	-6155.469893102279	0.8390822435706458	-2.0054615675471856	1.3674104457991834	0.2973220615084441
52000	-6162.458145450255	-6158.209874577551	-4.248270872703917	-6158.209874577551	0.9034999809718418	-4.248270872703917	2.8551613033483783	0.35703516032666816
53000	-6158.90828082076	-6156.136068597916	-2.772212222844031	-6156.136068597916	0.9244677123241285	-2.772212222844031	1.8136175868681539	0.4223221239607665
54000	-6161.850819002569	-6155.387940790348	-6.46287821222112	-6155.387940790348	0.9231431750228741	-6.46287821222112	1.7026743290788842	0.8714760290157917
55000	-6160.496619726884	-6158.1105035076	-2.386116219283992	-6158.1105035076	0.8433347772634991	-2.386116219283992	0.7813257609607139	0.7094803307715617
56000	-6156.738108484929	-6153.523442224214	-3.2146662607155987	-6153.523442224214	0.9464141840658008	-3.2146662607155987	2.4608097308408396	0.2542361818569153
57000	-6159.197868350935	-6156.783710949008	-2.4141574019271554	-6156.783710949008	0.8914482604128722	-2.4141574019271554	0.845107912720911	0.47269179080060414
58000	-6159.32545227776	-6156.822239776414	-2.5032125013457973	-6156.822239776414	0.8626239131579877	-2.5032125013457973	2.1337180402476754	0.19732383812555618
59000	-6160.132303546604	-6156.677697788197	-3.4546057584066197	-6156.677697788197	0.8673250968436105	-3.4546057584066197	2.8783582163038655	0.29927853265550036
60000	-6162.279947558636	-6159.520717412724	-2.759230145912237	-6159.520717412724	0.9409135285875083	-2.759230145912237	0.712497336043543	0.44987544931422546
61000	-6160.616804598476	-6158.272126477665	-2.3446781208117455	-6158.272126477665	0.790980283438167	-2.3446781208117455	1.6186456064891066	0.6053890756679536
62000	-6156.820238472407	-6154.5721321385045	-2.2481063339028156	-6154.5721321385045	0.8953357242771824	-2.2481063339028156	1.3503837954719211	0.1815900821313603
63000	-6159.130405408989	-6156.276763226392	-2.8536421825968623	-6156.276763226392	0.8265259819905836	-2.8536421825968623	0.6249431572248254	0.4180999146334295
64000	-6156.706845535427	-6154.40159910279	-2.3052464326378863	-6154.40159910279	0.8756485482482426	-2.3052464326378863	1.2472715143986015	0.11588514311292548
65000	-6160.2214355108945	-6155.422773593241	-4.798661917653679	-6155.422773593241	0.8828355087309173	-4.798661917653679	1.3947965182775024	0.8693142764315902
66000	-6158.434773693278	-6155.219928677915	-3.214845015362649	-6155.219928677915	0.8586869889330451	-3.214845015362649	0.8620116370591983	0.8437633035001497
67000	-6162.997416362703	-6158.305908404758	-4.691507957945117	-6158.305908404758	0.8408618434649451	-4.691507957945117	3.658442990895737	0.2826560824274268
68000	-6157.270535961396	-6154.46515555497	-2.805380406425797	-6154.46515555497	0.884442674503831	-2.805380406425797	1.195397245676137	0.7171218923130684
69000	-6156.0487083564785	-6153.609553771783	-2.439154584696058	-6153.609553771783	0.9162699081728682	-2.439154584696058	0.941197314932358	0.5750319170169288
70000	-6159.5403620217	-6156.244901596398	-3.295460425302122	-6156.244901596398	0.8973558618250399	-3.295460425302122	0.4466870974218586	0.9132287314048794
71000	-6158.732993661157	-6154.809012248609	-3.923981412547576	-6154.809012248609	0.948450782925023	-3.923981412547576	3.362398255915316	0.030150158130612534
72000	-6157.873406332625	-6154.894902453877	-2.9785038787472873	-6154.894902453877	0.973349163622244	-2.9785038787472873	0.6275050629698838	0.8360189235400494
73000	-6157.913732793911	-6155.54393007913	-2.369802714780627	-6155.54393007913	0.8957611651624946	-2.369802714780627	1.210446203141911	0.10426088610900608
74000	-6160.146170179131	-6157.629218507929	-2.5169516712017774	-6157.629218507929	0.9036075265208091	-2.5169516712017774	1.1718628594812146	0.6138089734682615
75000	-6158.0101368465885	-6155.247848134207	-2.7622887123819773	-6155.247848134207	1.0318700566124597	-2.7622887123819773	1.3364375462060667	0.23719148950968183
76000	-6160.713566917198	-6157.378468254017	-3.3350986631804327	-6157.378468254017	0.8807809920193505	-3.3350986631804327	2.9849986800707873	0.011538659901438972
77000	-6159.405527632275	-6156.309762040198	-3.095765592077414	-6156.309762040198	0.9697657061962297	-3.095765592077414	1.031131052252917	0.7812769956468218
78000	-6159.222512983304	-6156.627839881976	-2.59467310132844	-6156.627839881976	0.8583044968986882	-2.59467310132844	1.9431141409197015	0.30278141498127153
79000	-6159.803606679683	-6155.564000384707	-4.239606294976404	-6155.564000384707	1.0216760139461787	-4.239606294976404	0.5509293360552644	0.18252669151322962
80000	-6157.301505092737	-6153.935697265658	-3.3658078270790392	-6153.935697265658	0.9049972117097256	-3.3658078270790392	0.6981263308213753	0.19246568987138093
81000	-6160.180133976712	-6157.512088721503	-2.66804525520907	-6157.512088721503	0.8646091679608512	-2.66804525520907	1.0461368050755806	0.15396124860990257
